FECHA;Temporada
13/06/2019;T. Media
14/06/2019;T. Media
15/06/2019;T. Media
16/06/2019;T. Media
17/06/2019;T. Media
18/06/2019;T. Media
19/06/2019;T. Media
20/06/2019;T. Alta
21/06/2019;T. Alta
22/06/2019;T. Alta
23/06/2019;T. Alta
24/06/2019;T. Alta
25/06/2019;T. Alta
26/06/2019;T. Alta
27/06/2019;T. Alta
28/06/2019;T. Alta
29/06/2019;T. Alta
30/06/2019;T. Alta
01/07/2019;T. Alta
02/07/2019;T. Alta
03/07/2019;T. Alta
04/07/2019;T. Alta
05/07/2019;T. Alta
06/07/2019;T. Alta
07/07/2019;T. Alta
08/07/2019;T. Alta
09/07/2019;T. Alta
10/07/2019;T. Alta
11/07/2019;T. Alta
12/07/2019;T. Alta
13/07/2019;T. Alta
14/07/2019;T. Alta
15/07/2019;T. Alta
16/07/2019;T. Alta
17/07/2019;T. Alta
18/07/2019;T. Alta
19/07/2019;T. Alta
20/07/2019;T. Alta
21/07/2019;T. Alta
22/07/2019;T. Alta
23/07/2019;T. Alta
24/07/2019;T. Alta
25/07/2019;T. Alta
26/07/2019;T. Alta
27/07/2019;T. Alta
28/07/2019;T. Alta
29/07/2019;T. Alta
30/07/2019;T. Alta
31/07/2019;T. Alta
01/08/2019;T. Alta
02/08/2019;T. Alta
03/08/2019;T. Alta
04/08/2019;T. Alta
05/08/2019;T. Alta
06/08/2019;T. Alta
07/08/2019;T. Alta
08/08/2019;T. Alta
09/08/2019;T. Alta
10/08/2019;Aste Nagusia
11/08/2019;Aste Nagusia
12/08/2019;Aste Nagusia
13/08/2019;Aste Nagusia
14/08/2019;Aste Nagusia
15/08/2019;Aste Nagusia
16/08/2019;Aste Nagusia
17/08/2019;Aste Nagusia
18/08/2019;T. Alta
19/08/2019;T. Alta
20/08/2019;T. Alta
21/08/2019;T. Alta
22/08/2019;T. Alta
23/08/2019;T. Alta
24/08/2019;T. Alta
25/08/2019;T. Alta
26/08/2019;T. Alta
27/08/2019;T. Alta
28/08/2019;T. Alta
29/08/2019;T. Alta
30/08/2019;T. Alta
31/08/2019;T. Alta
01/09/2019;T. Alta
02/09/2019;T. Alta
03/09/2019;T. Alta
04/09/2019;T. Alta
05/09/2019;T. Alta
06/09/2019;T. Alta
07/09/2019;T. Alta
08/09/2019;Bandera Concha
09/09/2019;T. Media
10/09/2019;T. Media
11/09/2019;T. Media
12/09/2019;T. Media
13/09/2019;T. Media
14/09/2019;T. Media
15/09/2019;T. Media
16/09/2019;T. Media
17/09/2019;T. Media
18/09/2019;T. Media
19/09/2019;T. Media
20/09/2019;Zinemaldi
21/09/2019;Zinemaldi
22/09/2019;Zinemaldi
23/09/2019;Zinemaldi
24/09/2019;Zinemaldi
25/09/2019;Zinemaldi
26/09/2019;Zinemaldi
27/09/2019;Zinemaldi
28/09/2019;Zinemaldi
29/09/2019;T. Baja
30/09/2019;T. Baja
01/10/2019;T. Baja
02/10/2019;T. Baja
03/10/2019;T. Baja
04/10/2019;T. Baja
05/10/2019;T. Baja
06/10/2019;T. Baja
07/10/2019;T. Baja
08/10/2019;T. Baja
09/10/2019;T. Baja
